Week  2  Offensive  Scoring  Points per Game  Team  Statistics  Screen,,,,,,,,,,
,,,,,,,,,,
No.,,Week 2,,,,,,,,
,Team City,"Power
Rank","Offense
Scoring
Ranking","Offense
Passing
Ranking","Offense
Rushing
Ranking","Overall
Offense","Defense
Scoring
Ranking","Defense
Passing
Ranking","Defense
Rushing
Ranking","Overall
Defense"
1,Arizona,6,1,12,13,10,2,28,10,22
2,Atlanta,17,11,3,22,5,3,29,9,27
3,Baltimore,12,17,14,21,20,11,18,11,11
4,Buffalo,9,4,27,3,15,5,31,2,28
5,Carolina,18,20,31,7,27,9,8,7,5
6,Chicago,27,16,19,5,8,29,4,22,7
7,Cincinnati,8,6,15,4,7,4,7,13,6
8,Cleveland,28,23,29,16,30,21,5,32,19
9,Dallas,5,15,5,20,6,28,9,1,3
10,Denver,4,13,26,29,32,26,1,18,2
11,Detroit,20,19,11,31,25,25,24,28,30
12,Green Bay,2,5,21,9,16,8,12,31,21
13,Houston,26,26,8,24,12,14,11,26,12
14,Indianapolis,11,32,13,26,22,22,13,23,13
15,Jacksonville,30,30,18,17,21,20,20,5,9
16,Kansas City,7,10,25,12,23,18,23,8,15
17,Miami,16,27,10,30,24,15,16,27,23
18,Minnesota,25,31,32,8,29,27,15,25,20
19,New England,1,2,1,28,2,1,22,29,29
20,New Orleans,22,24,6,25,9,10,19,24,25
21,NY Giants,24,18,16,19,17,6,32,3,31
22,NY Jets,21,9,22,10,18,17,17,14,10
23,Oakland,31,12,9,23,13,23,30,20,32
24,Philadelphia,15,28,7,32,26,12,25,17,24
25,Pittsburgh,13,3,2,18,1,13,27,12,26
26,San Diego,10,8,4,15,3,7,14,21,14
27,San Francisco,19,25,17,2,4,32,26,6,16
28,Seattle,3,14,20,11,19,16,21,15,17
29,St Louis,14,21,23,27,31,31,10,30,18
30,Tampa Bay,32,22,30,14,28,24,6,19,8
31,Tennessee,23,7,24,6,14,30,3,16,4
32,Washington,29,29,28,1,11,19,2,4,1
,,,,,,,,,,
Weekly Team Stats From:,,,,,,,,,,
