NBR,Season,Week,Team,PowerRank,OffenseScoringRank,OffensePassingRank,OffenseRushingRank,OffenseTotalRank,DefenseScoringRank,DefensePassingRank,DefenseRushingRank,DefenseTotalRank
1,2025,4,Cardinals,18,19,28,16,25,5,30,4,23
2,2025,4,Falcons,23,31,19,6,13,13,1,10,2
3,2025,4,Ravens,3,1,14,12,14,31,31,30,32
4,2025,4,Bills,2,4,5,1,1,20,2,32,9
5,2025,4,Panthers,22,19,23,25,24,8,12,25,21
6,2025,4,Bears,20,9,11,15,10,28,27,26,29
7,2025,4,Bengals,21,24,27,32,32,26,25,21,25
8,2025,4,Browns,28,30,16,29,22,18,4,1,1
9,2025,4,Cowboys,24,10,3,11,4,27,32,17,30
10,2025,4,Broncos,13,17,25,8,19,16,18,20,19
11,2025,4,Lions,1,2,8,4,3,23,15,11,13
12,2025,4,Packers,5,18,17,20,21,1,7,3,3
13,2025,4,Texans,17,32,26,23,29,5,13,16,16
14,2025,4,Colts,14,2,4,3,2,9,8,8,7
15,2025,4,Jaguars,16,14,13,5,8,5,16,5,10
16,2025,4,Chiefs,6,21,15,17,17,9,10,18,11
26,2025,4,Chargers,8,14,2,24,6,4,9,9,8
29,2025,4,Rams,10,11,10,9,5,14,6,13,5
23,2025,4,Raiders,26,26,6,30,16,21,24,18,24
17,2025,4,Dolphins,29,25,21,26,23,32,21,28,26
18,2025,4,Vikings,9,6,30,13,28,9,3,22,6
19,2025,4,Patriots,25,21,7,19,11,18,29,2,17
20,2025,4,Saints,32,29,18,18,19,25,17,14,15
21,2025,4,Giants,30,27,9,21,12,24,28,31,31
22,2025,4,Jets,27,16,31,9,26,28,14,23,22
24,2025,4,Eagles,4,8,29,14,27,15,11,24,18
25,2025,4,Steelers,19,12,24,31,30,22,26,26,28
27,2025,4,49ers,12,23,1,26,7,3,5,15,4
28,2025,4,Seahawks,11,5,12,21,18,2,20,7,14
30,2025,4,Buccaneers,15,12,22,7,15,17,19,6,11
31,2025,4,Titans,31,28,32,28,31,30,22,29,27
32,2025,4,Commanders,7,7,20,2,9,12,23,12,20
