NBR,Season,Week,Team,PowerRank,OffenseScoringRank,OffensePassingRank,OffenseRushingRank,OffenseTotalRank,DefenseScoringRank,DefensePassingRank,DefenseRushingRank,DefenseTotalRank
1,2021,8,Cardinals,3,4,11,5,7,1,3,18,4
2,2021,8,Falcons,27,19,10,27,17,30,19,16,18
3,2021,8,Ravens,7,9,9,4,4,16,29,4,24
4,2021,8,Bills,1,2,8,7,6,2,1,6,1
5,2021,8,Panthers,23,22,26,20,25,7,2,13,3
6,2021,8,Bears,26,30,32,6,32,14,8,23,11
7,2021,8,Bengals,11,7,12,17,13,5,17,7,10
8,2021,8,Browns,12,12,27,1,9,18,7,2,2
9,2021,8,Cowboys,5,1,5,2,1,20,28,5,23
10,2021,8,Broncos,20,24,16,18,22,4,10,8,5
11,2021,8,Lions,30,28,17,22,24,25,22,21,25
12,2021,8,Packers,9,16,18,19,23,7,6,22,7
13,2021,8,Texans,32,31,30,30,30,27,18,31,26
14,2021,8,Colts,16,15,23,9,14,11,13,14,15
15,2021,8,Jaguars,29,27,19,10,15,26,31,17,30
16,2021,8,Chiefs,8,8,4,14,3,27,26,27,28
26,2021,8,Chargers,15,13,7,25,12,22,4,32,19
29,2021,8,Rams,4,5,3,23,8,7,21,15,21
23,2021,8,Raiders,21,10,2,28,10,19,9,28,14
17,2021,8,Dolphins,28,29,24,31,28,31,30,19,32
18,2021,8,Vikings,14,14,6,8,5,13,12,26,16
19,2021,8,Patriots,13,11,14,23,16,6,16,11,12
20,2021,8,Saints,6,17,31,11,29,3,20,3,8
21,2021,8,Giants,25,25,13,26,19,23,13,24,20
22,2021,8,Jets,31,32,29,32,31,29,25,25,27
24,2021,8,Eagles,22,18,21,15,21,24,11,29,17
25,2021,8,Steelers,19,26,15,29,27,12,15,12,13
27,2021,8,49ers,18,19,20,12,18,21,5,20,6
28,2021,8,Seahawks,17,21,28,16,26,14,27,30,31
30,2021,8,Buccaneers,2,3,1,21,2,10,23,1,9
31,2021,8,Titans,10,6,25,3,11,16,24,9,22
32,2021,8,Redskins,24,22,22,13,20,32,32,10,29
