NBR,Season,Week,Team,PowerRank,OffenseScoringRank,OffensePassingRank,OffenseRushingRank,OffenseTotalRank,DefenseScoringRank,DefensePassingRank,DefenseRushingRank,DefenseTotalRank
1,2025,8,Cardinals,25,19,23,20,22,13,25,12,19
2,2025,8,Falcons,17,28,13,11,14,13,1,21,2
3,2025,8,Ravens,30,13,28,8,21,30,28,23,28
4,2025,8,Bills,24,4,15,1,3,9,2,31,12
5,2025,8,Panthers,20,27,29,5,20,20,10,16,11
6,2025,8,Bears,11,15,10,10,12,25,13,27,25
7,2025,8,Bengals,21,21,21,31,29,32,30,32,32
8,2025,8,Browns,27,30,30,29,31,17,5,9,3
9,2025,8,Cowboys,15,2,1,13,2,31,31,29,31
10,2025,8,Broncos,8,10,14,3,9,5,7,10,5
11,2025,8,Lions,2,3,12,7,8,11,16,4,8
12,2025,8,Packers,9,5,7,16,7,10,15,3,6
13,2025,8,Texans,16,19,16,17,17,1,4,5,1
14,2025,8,Colts,1,1,6,6,1,6,29,8,24
15,2025,8,Jaguars,12,25,17,14,15,15,27,6,21
16,2025,8,Chiefs,10,7,5,9,5,2,3,11,4
26,2025,8,Chargers,18,16,4,12,4,12,6,17,7
29,2025,8,Rams,3,11,3,22,6,3,14,14,13
23,2025,8,Raiders,26,31,27,27,30,23,20,13,17
17,2025,8,Dolphins,31,21,26,23,28,26,11,28,23
18,2025,8,Vikings,23,18,20,26,26,19,8,24,14
19,2025,8,Patriots,13,8,9,18,10,4,19,2,9
20,2025,8,Saints,28,29,22,28,27,24,9,20,15
21,2025,8,Giants,22,23,18,15,18,26,24,30,29
22,2025,8,Jets,32,24,32,2,24,28,12,25,18
24,2025,8,Eagles,7,9,25,19,23,18,18,19,20
25,2025,8,Steelers,14,11,19,25,25,22,32,18,30
27,2025,8,49ers,6,26,2,30,13,8,22,15,22
28,2025,8,Seahawks,5,5,8,21,11,7,23,1,10
30,2025,8,Buccaneers,4,14,11,24,19,16,21,7,16
31,2025,8,Titans,29,32,31,32,32,29,17,26,26
32,2025,8,Commanders,19,17,24,3,16,21,26,22,27
