nbr,Season,Week,team,powerrank,offencescoringrank,offencepassingrank,offencerushingrank,offencetotalrank,defencescoringrank,defencepassingrank,defencerushingrank,defencetotalrank
1,2015,15,Cardinals,2,2,3,10,1,7,12,5,4
2,2015,15,Falcons,27,19,7,16,7,14,18,15,17
3,2015,15,Ravens,29,20,8,25,13,23,21,11,15
4,2015,15,Bills,16,13,28,3,14,15,23,14,20
5,2015,15,Panthers,1,1,25,2,10,4,5,4,3
6,2015,15,Bears,19,22,20,15,17,18,2,26,12
7,2015,15,Bengals,4,4,9,14,6,2,17,9,10
8,2015,15,Browns,32,29,11,30,21,31,22,29,26
9,2015,15,Cowboys,24,30,29,11,28,16,4,18,9
10,2015,15,Broncos,5,18,18,17,24,1,1,3,1
11,2015,15,Lions,25,23,10,32,22,28,10,21,16
12,2015,15,Packers,7,12,23,8,18,6,11,23,18
13,2015,15,Texans,13,25,15,19,19,13,3,19,7
14,2015,15,Colts,20,21,16,28,26,29,29,25,29
15,2015,15,Jaguars,21,9,14,18,15,30,25,13,22
16,2015,15,Chiefs,9,8,27,7,23,5,15,7,8
17,2015,15,Dolphins,23,24,22,20,27,26,26,30,28
18,2015,15,Vikings,11,26,31,5,30,9,8,20,14
19,2015,15,Patriots,3,3,1,27,3,8,7,10,6
20,2015,15,Saints,22,11,2,24,4,32,30,32,31
21,2015,15,Giants,17,7,6,29,12,20,32,16,32
22,2015,15,Jets,10,10,12,12,9,10,19,1,5
23,2015,15,Raiders,14,15,13,26,20,24,28,12,25
24,2015,15,Eagles,12,14,21,13,16,22,24,28,27
25,2015,15,Steelers,6,5,5,9,2,11,31,6,23
26,2015,15,Chargers,28,28,4,31,8,27,14,27,24
27,2015,15,49ers,31,32,30,21,32,19,27,31,30
28,2015,15,Seahawks,8,6,19,1,5,3,6,2,2
29,2015,15,Rams,26,31,32,6,31,12,13,22,19
30,2015,15,Buccaneers,18,16,26,4,11,21,20,8,11
31,2015,15,Titans,30,27,24,22,29,25,9,17,13
32,2015,15,Redskins,15,17,17,23,25,17,16,24,21
