nbr,Season,Week,team,powerrank,offencescoringrank,offencepassingrank,offencerushingrank,offencetotalrank,defencescoringrank,defencepassingrank,defencerushingrank,defencetotalrank
1,2016,12,Cardinals,21,20,9,17,9,11,2,11,1
2,2016,12,Falcons,8,1,3,15,3,29,32,10,27
3,2016,12,Ravens,14,25,18,28,23,4,6,1,2
4,2016,12,Bills,17,8,32,1,18,14,8,21,10
5,2016,12,Panthers,20,10,19,13,14,24,29,2,17
6,2016,12,Bears,29,31,15,21,16,20,12,18,11
7,2016,12,Bengals,26,27,10,14,10,17,13,28,23
8,2016,12,Browns,32,30,26,26,30,31,19,31,31
9,2016,12,Cowboys,1,3,16,2,4,5,31,3,21
10,2016,12,Broncos,5,14,22,19,19,9,1,27,4
11,2016,12,Lions,10,19,17,30,26,15,14,16,15
12,2016,12,Packers,24,11,7,22,11,25,21,7,13
13,2016,12,Texans,16,29,31,5,29,12,5,19,5
14,2016,12,Colts,18,12,11,25,15,28,30,23,30
15,2016,12,Jaguars,30,26,21,24,24,27,3,24,6
16,2016,12,Chiefs,7,16,23,23,27,8,20,29,28
17,2016,12,Dolphins,11,18,28,6,25,16,9,30,20
18,2016,12,Vikings,12,24,25,32,32,2,4,14,3
19,2016,12,Patriots,3,6,6,7,6,3,18,13,14
20,2016,12,Saints,23,2,1,9,1,30,27,12,26
21,2016,12,Giants,6,21,12,31,21,6,24,58,16
22,2016,12,Jets,28,28,24,12,22,21,22,4,12
23,2016,12,Raiders,4,5,4,10,5,23,28,26,29
24,2016,12,Eagles,15,15,27,8,20,7,11,17,8
25,2016,12,Steelers,13,13,8,18,12,10,23,9,18
26,2016,12,Chargers,25,4,5,20,8,26,26,6,19
27,2016,12,49ers,31,22,30,4,28,32,15,32,32
28,2016,12,Seahawks,2,23,14,27,17,1,10,15,7
29,2016,12,Rams,27,32,29,29,31,13,7,20,9
30,2016,12,Buccaneers,22,17,13,16,13,19,17,22,24
31,2016,12,Titans,19,7,20,3,7,22,25,8,22
32,2016,12,Redskins,9,9,2,11,2,18,16,25,25
