NBR,Season,Week,Team,PowerRank,OffenseScoringRank,OffensePassingRank,OffenseRushingRank,OffenseTotalRank,DefenseScoringRank,DefensePassingRank,DefenseRushingRank,DefenseTotalRank
1,2025,6,Cardinals,23,23,30,12,26,4,28,8,21
2,2025,6,Falcons,22,26,13,6,7,15,1,16,1
3,2025,6,Ravens,16,6,22,17,23,32,31,29,31
4,2025,6,Bills,5,3,7,2,3,18,2,28,9
5,2025,6,Panthers,24,24,26,10,21,19,10,14,12
6,2025,6,Bears,21,11,14,24,17,28,17,31,27
7,2025,6,Bengals,25,29,29,32,32,30,29,24,30
8,2025,6,Browns,29,31,24,26,27,21,4,1,2
9,2025,6,Cowboys,20,4,3,8,1,29,32,23,32
10,2025,6,Broncos,8,18,15,4,10,2,8,5,5
11,2025,6,Lions,1,1,12,7,6,17,12,7,8
12,2025,6,Packers,6,9,11,18,14,11,11,2,4
13,2025,6,Texans,3,20,19,16,22,1,6,6,3
14,2025,6,Colts,7,2,4,9,4,3,19,12,14
15,2025,6,Jaguars,12,10,17,5,15,8,27,11,23
16,2025,6,Chiefs,4,12,9,11,8,13,7,21,13
26,2025,6,Chargers,17,25,10,14,12,6,4,18,7
29,2025,6,Rams,10,15,2,21,2,13,18,10,10
23,2025,6,Raiders,27,30,16,20,18,25,22,13,19
17,2025,6,Dolphins,26,21,21,30,28,27,16,32,29
18,2025,6,Vikings,13,15,19,23,25,5,3,24,6
19,2025,6,Patriots,18,12,7,27,16,9,26,4,18
20,2025,6,Saints,32,27,25,14,24,24,9,20,17
21,2025,6,Giants,28,28,18,13,19,22,24,26,26
22,2025,6,Jets,30,19,28,3,20,31,13,27,22
24,2025,6,Eagles,2,12,31,25,30,16,15,22,20
25,2025,6,Steelers,19,17,27,31,29,20,30,19,28
27,2025,6,49ers,15,22,1,28,5,6,14,15,15
28,2025,6,Seahawks,11,5,5,19,9,11,25,3,16
30,2025,6,Buccaneers,14,7,6,22,11,23,20,8,11
31,2025,6,Titans,31,31,32,28,31,26,21,30,25
32,2025,6,Commanders,9,8,23,1,13,9,23,17,24
