NBR,Season,Week,Team,PowerRank,OffenseScoringRank,OffensePassingRank,OffenseRushingRank,OffenseTotalRank,DefenseScoringRank,DefensePassingRank,DefenseRushingRank,DefenseTotalRank,
1,2018,12,Cardinals,30,32,32,32,32,27,4,30,19
2,2018,12,Falcons,13,11,4,31,7,29,26,25,28
3,2018,12,Ravens,6,15,14,11,11,1,2,3,1
4,2018,12,Bills,32,31,31,17,31,17,1,15,2
5,2018,12,Panthers,12,10,21,3,13,20,22,6,14
6,2018,12,Bears,8,5,20,15,21,2,10,2,4
7,2018,12,Bengals,22,13,17,28,26,32,31,31,32
8,2018,12,Browns,24,18,23,9,18,22,29,28,31
9,2018,12,Cowboys,15,23,28,6,25,3,12,5,7
10,2018,12,Broncos,18,19,16,10,15,13,24,24,25
11,2018,12,Lions,23,21,15,23,23,24,14,19,13
12,2018,12,Packers,14,17,8,21,10,16,9,23,12
13,2018,12,Texans,11,14,19,4,12,5,11,7,8
14,2018,12,Colts,17,4,9,18,9,18,20,12,17
15,2018,12,Jaguars,21,28,22,16,22,9,3,16,5
16,2018,12,Chiefs,3,2,3,14,3,28,32,20,30
26,2018,12,Chargers,7,7,10,8,6,4,7,13,9
29,2018,12,Rams,2,3,5,2,2,21,19,21,20
17,2018,12,Dolphins,28,25,27,20,28,23,21,29,29
18,2018,12,Vikings,9,16,7,30,14,10,5,4,3
19,2018,12,Patriots,5,8,11,12,8,12,25,14,22
20,2018,12,Saints,1,1,6,7,5,15,30,1,15
21,2018,12,Giants,26,22,12,29,20,25,18,26,23
22,2018,12,Jets,29,26,29,22,29,19,16,27,21
23,2018,12,Raiders,31,30,18,25,24,30,15,32,26
24,2018,12,Eagles,16,24,13,24,19,14,28,11,24
25,2018,12,Steelers,4,6,2,27,4,11,6,9,6
27,2018,12,49ers,27,20,24,5,17,26,17,10,11
28,2018,12,Seahawks,10,12,26,1,16,8,13,22,16
30,2018,12,Buccaneers,25,9,1,26,1,31,27,18,27
31,2018,12,Titans,20,29,30,19,30,6,8,17,10
32,2018,12,Redskins,19,27,25,13,27,7,23,8,18
