NBR,Season,Week,Team,PowerRank,OffenseScoringRank,OffensePassingRank,OffenseRushingRank,OffenseTotalRank,DefenseScoringRank,DefensePassingRank,DefenseRushingRank,DefenseTotalRank
1,2021,11,Cardinals,4,4,10,9,9,4,4,18,5
2,2021,11,Falcons,28,27,20,30,29,31,14,25,20
3,2021,11,Ravens,11,15,11,3,3,18,31,2,25
4,2021,11,Bills,1,2,7,12,5,2,2,9,1
5,2021,11,Panthers,20,22,27,15,26,6,1,19,2
6,2021,11,Bears,27,29,32,6,31,21,11,24,11
7,2021,11,Bengals,22,9,12,22,14,9,25,5,15
8,2021,11,Browns,18,19,25,1,12,17,8,7,4
9,2021,11,Cowboys,3,3,5,5,1,8,20,10,18
10,2021,11,Broncos,19,23,18,19,20,3,9,14,9
11,2021,11,Lions,30,30,30,16,27,30,13,31,27
12,2021,11,Packers,9,17,13,20,18,5,7,12,7
13,2021,11,Texans,32,32,31,32,32,29,27,30,30
14,2021,11,Colts,17,5,23,4,11,13,18,15,19
15,2021,11,Jaguars,29,31,24,17,25,25,19,17,21
16,2021,11,Chiefs,6,12,2,18,4,16,23,15,22
26,2021,11,Chargers,16,11,6,21,8,27,5,32,17
29,2021,11,Rams,10,7,4,24,6,15,16,11,12
23,2021,11,Raiders,23,18,3,28,10,25,10,29,15
17,2021,11,Dolphins,26,26,17,31,28,23,29,13,29
18,2021,11,Vikings,13,13,8,11,7,22,20,27,28
19,2021,11,Patriots,5,6,16,14,17,1,6,8,3
20,2021,11,Saints,7,14,26,13,24,10,22,3,10
21,2021,11,Giants,25,25,19,25,23,24,26,22,26
22,2021,11,Jets,31,27,9,29,21,32,32,28,32
24,2021,11,Eagles,15,8,29,2,16,20,12,21,13
25,2021,11,Steelers,21,20,14,27,22,14,15,26,23
27,2021,11,49ers,12,16,15,8,13,11,3,20,6
28,2021,11,Seahawks,14,24,28,23,30,7,30,23,31
30,2021,11,Buccaneers,2,1,1,26,2,11,17,1,8
31,2021,11,Titans,8,10,21,7,15,19,24,4,14
32,2021,11,Redskins,24,21,22,10,19,28,28,6,24
