NBR,Season,Week,Team,PowerRank,OffenseScoringRank,OffensePassingRank,OffenseRushingRank,OffenseTotalRank,DefenseScoringRank,DefensePassingRank,DefenseRushingRank,DefenseTotalRank,
1,2020,14,Cardinals,15,9,19,4,6,14,16,22,18
2,2020,14,Falcons,16,14,7,25,11,17,30,12,27
3,2020,14,Ravens,3,13,32,1,23,3,14,13,8
4,2020,14,Bills,14,8,3,23,10,18,20,24,21
5,2020,14,Panthers,19,21,15,20,20,16,19,15,20
6,2020,14,Bears,22,28,23,31,30,12,17,17,15
7,2020,14,Bengals,29,29,22,30,27,20,25,29,26
8,2020,14,Browns,20,15,27,2,17,22,23,8,19
9,2020,14,Cowboys,30,24,9,17,9,32,6,32,24
10,2020,14,Broncos,26,31,26,12,25,21,9,26,14
11,2020,14,Lions,28,19,12,28,19,31,27,28,28
12,2020,14,Packers,6,1,5,9,2,15,11,14,11
13,2020,14,Texans,21,18,2,32,16,24,21,31,30
14,2020,14,Colts,9,10,11,21,13,10,8,7,5
15,2020,14,Jaguars,31,27,20,22,24,29,29,30,32
16,2020,14,Chiefs,1,2,1,16,1,6,13,27,17
26,2020,14,Chargers,27,22,4,15,7,27,5,23,9
29,2020,14,Rams,7,17,6,8,3,5,1,3,2
23,2020,14,Raiders,18,11,17,10,15,28,24,20,22
17,2020,14,Dolphins,13,16,24,26,28,2,15,21,16
18,2020,14,Vikings,17,12,16,6,4,26,26,19,23
19,2020,14,Patriots,11,23,30,3,22,7,12,18,12
20,2020,14,Saints,2,5,21,7,12,4,4,2,1
21,2020,14,Giants,25,30,29,11,31,9,18,4,10
22,2020,14,Jets,32,32,31,19,32,30,31,11,29
24,2020,14,Eagles,23,26,28,14,29,19,7,25,13
25,2020,14,Steelers,4,7,14,29,21,1,2,6,3
27,2020,14,49ers,10,20,13,18,14,13,10,9,6
28,2020,14,Seahawks,8,4,8,13,8,23,32,5,31
30,2020,14,Buccaneers,5,6,10,27,18,11,22,1,7
31,2020,14,Titans,12,3,18,5,5,25,28,16,25
32,2020,14,Redskins,24,25,25,24,26,8,3,10,4
